Id,LeadSource,AssignedCounsellorId,InterestedProgramId,CreatedAtUtc,FirstName,LastName,Email,Phone,Status
881b86b2-4ae2-4515-aca8-a99bef24ab4d,Instagram,23992e53-f2f6-4871-8abb-0944551c7d7f,9325b646-8287-4df6-996a-41ec66b17582,2025-11-29 07:20:38,Lakshmi,Narayan,lakshmi.narayan163@example-mail.test,+91-9286303748,AdmissionDone
dcb22483-c36c-4522-8090-86e9275f774f,Website,,765d30fd-a305-49fa-b4f2-4980b74f061d,2026-07-23 09:10:38,Netra,Date,netra.date713@example-mail.test,+91-9570292961,Interested
d527068c-eb0b-4f1c-9e07-616df2711d36,Referral,4edf389c-896d-4fb8-847b-7c4bf1964034,767740b7-433c-4802-8601-83709bcc60bd,2026-02-10 05:24:24,Gopal,Dani,gopal.dani120@example-mail.test,+91-9242262385,AdmissionDone
81b5abd9-725b-4407-b780-056dbe96d234,Instagram,389ae608-450b-410a-be42-33cf7418447d,,2026-03-08 05:22:23,Xalak,Kaur,xalak.kaur283@example-mail.test,+91-9415218409,Lost
8aec8574-f8b2-415a-9580-44f543424cb7,Referral,35be7a13-9644-4ee1-9a73-28d319659ae9,845d4008-28a2-4100-a0e1-bbc32d68f893,2026-01-20 19:37:09,Champak,Nazareth,champak.nazareth795@example-mail.test,+91-9366566658,AdmissionDone
6d4446fc-e9d2-431d-b6f5-044483fed339,Instagram,389ae608-450b-410a-be42-33cf7418447d,fa5b641f-d203-4a2b-bd47-f20084a5d921,2026-04-06 02:15:41,George,Golla,george.golla669@example-mail.test,+91-9056734341,AdmissionDone
c4aa84aa-f49d-4f94-8f32-931173613b27,Website,23992e53-f2f6-4871-8abb-0944551c7d7f,07e5c0c8-5b84-4d9c-9415-3f32d30d9fb8,2026-07-14 14:14:15,Dipta,Kamdar,dipta.kamdar743@example-mail.test,+91-9364717641,Interested
72cc0690-b96e-43f0-ba40-61e824fe869b,Referral,71afa0ce-3ef7-4a52-b766-2d07ea82757b,525fadd1-ceee-46d4-b6c9-8d759fe1bbcc,2025-10-19 19:36:30,Yahvi,Memon,yahvi.memon559@example-mail.test,+91-9578246469,Lost
029ee8cd-10d8-4f63-85d8-7f73ad3a6723,Walk-in,5cc97cd4-f582-474d-b1b6-cf1850c81e6a,9325b646-8287-4df6-996a-41ec66b17582,2025-10-04 14:19:04,Nathaniel,Mandal,nathaniel.mandal171@example-mail.test,+91-9699736535,AdmissionDone
021083a4-ad5d-4c75-b9e3-8807b2181545,,d7815410-827b-456e-9643-5434b387173d,767740b7-433c-4802-8601-83709bcc60bd,2026-01-16 10:40:02,Aayush,Pant,aayush.pant735@example-mail.test,+91-9432463656,ThirdCall
825eccba-5fa9-4fdd-905a-d50b9f4c2b4b,Referral,f6d73d15-6cc5-4cfb-a148-8a620ce0143c,5748c059-9d7b-46ca-b79a-031a7a874a84,2025-11-29 22:15:47,Aarush,Chowdhury,aarush.chowdhury349@example-mail.test,+91-9883084287,AdmissionDone
7da48b38-70fa-436b-a112-01e84b8a3458,Instagram,5cc97cd4-f582-474d-b1b6-cf1850c81e6a,d29debd6-c789-49ce-be94-0110e09cde1a,2026-06-28 06:30:41,Samesh,Lalla,samesh.lalla829@example-mail.test,+91-9678899430,AdmissionDone
008cb042-0466-41d9-94a3-b8d6b9ae1a47,,5bc6a940-ec05-4a1e-a5e4-0bb3430ea73d,df824abd-0606-4f9c-abad-e620feb70e17,2026-05-01 18:00:03,Henry,Mohanty,henry.mohanty315@example-mail.test,+91-9190064589,Prospect
82e1a7ea-1da9-4b34-99c2-23c427145cb4,Referral,ab6fe28a-9c5e-4997-94a3-02388060a49b,4e540f28-f12a-41d4-9709-8755c96f144c,2025-11-09 17:45:50,Chakrika,Hari,chakrika.hari509@example-mail.test,+91-9166247522,AdmissionDone
052021f9-74d5-446f-a3d5-7e540c24abc7,Website,19e3e063-8238-4b9c-b8cc-f0cf000198cd,d8fd47d6-3f47-46d9-8830-d5a83586edcb,2026-05-08 16:16:11,Sanya,Ramachandran,sanya.ramachandran237@example-mail.test,+91-9682543479,Prospect
b5e8861c-b0f6-42b0-a02f-5316a5d67d69,Website,2cc6c00b-b150-4b82-bfe6-22b1181a2c23,5281f626-a47a-4a26-a982-c6cefcf4681b,2026-01-25 08:22:27,Lavanya,Gour,lavanya.gour802@example-mail.test,+91-9797218378,AdmissionDone
93969f8f-d64b-4bbb-a0cf-dd32212b11aa,Walk-in,4edf389c-896d-4fb8-847b-7c4bf1964034,97b7dcce-ac39-433d-ae2f-5eb1c07df9d2,2026-07-06 16:35:39,Alexander,Contractor,alexander.contractor751@example-mail.test,+91-9571509840,AdmissionDone
