UserId,FirstName,LastName,Email,IsActive
6ae11536-440d-4f84-88aa-ad8256fe5286,Netra,Rai,netra.rai430@example-crm.test,true
5cc97cd4-f582-474d-b1b6-cf1850c81e6a,Ryan,Gola,ryan.gola436@example-crm.test,true
35be7a13-9644-4ee1-9a73-28d319659ae9,Victor,Kothari,victor.kothari147@example-crm.test,true
feea70a8-6c8a-4a22-b79b-168def8782e4,Kiaan,Chadha,kiaan.chadha6@example-crm.test,true
827222d4-4a60-4081-941d-2adbbf2ca6a9,Zayan,Rajagopal,zayan.rajagopal140@example-crm.test,true
389ae608-450b-410a-be42-33cf7418447d,Gaurav,Suri,gaurav.suri206@example-crm.test,true
2fc230f6-ab47-4392-90f4-e730f0b2bc4f,Ryan,Sama,ryan.sama998@example-crm.test,true
4edf389c-896d-4fb8-847b-7c4bf1964034,Tarak,Prakash,tarak.prakash217@example-crm.test,true
93ffcd04-1032-48d6-b554-b76d9b328170,Lipika,Kala,lipika.kala559@example-crm.test,true
92cdabb9-5ebb-42b5-9923-ac54bd259a72,Max,Shenoy,max.shenoy783@example-crm.test,true
78eb0983-9a25-4e77-8f25-f4b51791b347,Praneel,Nigam,praneel.nigam964@example-crm.test,true
7557c983-a25d-4d8e-b9a3-7dcff16b34cd,Fitan,Wadhwa,fitan.wadhwa945@example-crm.test,true
9d764cb7-23d1-4c60-bcfa-e9278e77a9c6,Gagan,Singh,gagan.singh757@example-crm.test,true
5bc6a940-ec05-4a1e-a5e4-0bb3430ea73d,Diya,Rau,diya.rau615@example-crm.test,true
57b01600-b6f0-4115-9dcd-4ef3352ac8e9,Brijesh,Luthra,brijesh.luthra155@example-crm.test,true
ec405de4-7cf5-4aa6-87c0-7b5a8a503944,Abhimanyu,Sandal,abhimanyu.sandal419@example-crm.test,true
19e3e063-8238-4b9c-b8cc-f0cf000198cd,Samar,Patil,samar.patil122@example-crm.test,true
23992e53-f2f6-4871-8abb-0944551c7d7f,Faris,Shere,faris.shere179@example-crm.test,false
c7337780-fc91-4ce0-9a56-69d6ff5e1f18,Zilmil,Hora,zilmil.hora420@example-crm.test,true
f6d73d15-6cc5-4cfb-a148-8a620ce0143c,Turvi,Behl,turvi.behl213@example-crm.test,true
d671d04c-3a49-4231-a6c4-ad5a3c78fede,Ishita,Dayal,ishita.dayal327@example-crm.test,true
ea151489-89c7-446f-b24b-0e88eaba608d,Tarak,Dyal,tarak.dyal818@example-crm.test,true
0317bc3f-d01d-4501-8cd6-2b062233beb0,Riya,Goel,riya.goel264@example-crm.test,true
ab6fe28a-9c5e-4997-94a3-02388060a49b,Yahvi,Goda,yahvi.goda843@example-crm.test,true
ae187995-c630-40d0-8af7-c3b30a8e82e7,Balhaar,Choudhary,balhaar.choudhary695@example-crm.test,true
2dbb8645-3200-4254-b6f6-1cf23df80a18,Arin,Garg,arin.garg295@example-crm.test,true
71afa0ce-3ef7-4a52-b766-2d07ea82757b,Urvi,Saini,urvi.saini853@example-crm.test,true
d7815410-827b-456e-9643-5434b387173d,Finn,Sandal,finn.sandal222@example-crm.test,true
410d927e-7633-438e-b3a4-f12868156f71,Gabriel,Dhar,gabriel.dhar345@example-crm.test,true
2cc6c00b-b150-4b82-bfe6-22b1181a2c23,Dayita,Ahluwalia,dayita.ahluwalia409@example-crm.test,true
